project,language,filename,blank,comment,code
cockroach,Starlark,D:\clones\cockroach\pkg\sql\schemachanger\BUILD.bazel,2,0.0,53.0
react-native,Starlark,D:\clones\react-native\tools\build_defs\oss\rn_codegen_defs.bzl,12,35.0,51.0
cockroach,Starlark,D:\clones\cockroach\pkg\sql\rowenc\valueside\BUILD.bazel,2,0.0,53.0
cockroach,Starlark,D:\clones\cockroach\pkg\spanconfig\spanconfigmanager\BUILD.bazel,2,0.0,52.0
cockroach,Starlark,D:\clones\cockroach\pkg\kv\kvserver\intentresolver\BUILD.bazel,2,0.0,52.0
grpc,Starlark,D:\clones\grpc\src\python\grpcio\grpc\framework\BUILD.bazel,1,13.0,10.0
cockroach,Starlark,D:\clones\cockroach\pkg\security\certmgr\BUILD.bazel,3,0.0,53.0
react-native,Starlark,D:\clones\react-native\tools\build_defs\fb_native_wrapper.bzl,1,4.0,104.0
react-native,Starlark,D:\clones\react-native\tools\build_defs\oss\rn_defs.bzl,97,89.0,236.0
grpc,Starlark,D:\clones\grpc\third_party\upb\bazel\build_defs.bzl,19,48.0,103.0
ccv,Starlark,D:\clones\ccv\config\ccv.bzl,5,8.0,105.0
cockroach,Starlark,D:\clones\cockroach\pkg\sql\BUILD.bazel,7,0.0,759.0
react-native,Starlark,D:\clones\react-native\packages\react-native-codegen\DEFS.bzl,41,169.0,360.0
grpc,Starlark,D:\clones\grpc\src\python\grpcio_tests\tests\reflection\BUILD.bazel,2,13.0,19.0
grpc,Starlark,D:\clones\grpc\src\python\grpcio_tests\tests\unit\framework\common\BUILD.bazel,1,13.0,10.0
protobuf,Starlark,D:\clones\protobuf\compiler_config_setting.bzl,1,7.0,15.0
cockroach,Starlark,D:\clones\cockroach\pkg\sql\sqltestutils\BUILD.bazel,2,0.0,53.0
cockroach,Starlark,D:\clones\cockroach\pkg\cli\clierror\BUILD.bazel,2,0.0,52.0
grpc,Starlark,D:\clones\grpc\src\python\grpcio_tests\tests\status\BUILD.bazel,2,13.0,19.0
grpc,Starlark,D:\clones\grpc\bazel\grpc_build_system.bzl,38,120.0,353.0
cockroach,Starlark,D:\clones\cockroach\pkg\cloud\gcp\BUILD.bazel,2,0.0,52.0
ccv,Starlark,D:\clones\ccv\lib\BUILD.bazel,28,193.0,240.0
cockroach,Starlark,D:\clones\cockroach\pkg\kv\kvserver\concurrency\lock\BUILD.bazel,4,0.0,52.0
grpc,Starlark,D:\clones\grpc\src\python\grpcio\grpc\BUILD.bazel,13,13.0,92.0
grpc,Starlark,D:\clones\grpc\src\python\grpcio_admin\grpc_admin\BUILD.bazel,2,13.0,10.0
ccv,Starlark,D:\clones\ccv\test\int\nnc\BUILD.bazel,13,0.0,121.0
