project,language,filename,blank,comment,code
ghc,m4,D:\clones\ghc\m4\fp_cc_linker_flag_try.m4,0,0.0,20.0
ghc,m4,D:\clones\ghc\m4\fp_check_sizeof_and_alignment.m4,1,0.0,7.0
php-src,m4,D:\clones\php-src\ext\curl\config.m4,11,0.0,76.0
ghc,m4,D:\clones\ghc\m4\fp_gcc_extra_flags.m4,0,0.0,20.0
jq,m4,D:\clones\jq\m4\ax_prog_bison_version.m4,6,0.0,62.0
php-src,m4,D:\clones\php-src\ext\dom\config.m4,3,0.0,27.0
ghc,m4,D:\clones\ghc\m4\fp_prog_ghc_pkg.m4,0,0.0,21.0
toxcore,m4,D:\clones\toxcore\m4\pkg.m4,21,0.0,178.0
ghc,m4,D:\clones\ghc\m4\fp_iconv.m4,4,0.0,21.0
ghc,m4,D:\clones\ghc\m4\fp_gcc_supports_no_pie.m4,0,0.0,19.0
ghc,m4,D:\clones\ghc\m4\fp_prog_context_diff.m4,1,0.0,22.0
emscripten,m4,D:\clones\emscripten\tests\third_party\poppler\m4\iconv.m4,8,5.0,167.0
php-src,m4,D:\clones\php-src\ext\ldap\config.m4,25,0.0,109.0
emscripten,m4,D:\clones\emscripten\tests\third_party\bullet\aclocal.m4,917,100.0,7778.0
node,m4,D:\clones\node\deps\uv\m4\as_case.m4,1,0.0,20.0
php-src,m4,D:\clones\php-src\ext\intl\config.m4,4,0.0,109.0
ghc,m4,D:\clones\ghc\m4\fp_prog_ar_supports_dash_l.m4,1,0.0,29.0
libuv,m4,D:\clones\libuv\configure.ac,2,0.0,86.0
node,m4,D:\clones\node\deps\cares\m4\xc-lt-iface.m4,57,112.0,296.0
emscripten,m4,D:\clones\emscripten\tests\third_party\poppler\m4\gtk-doc.m4,11,3.0,47.0
ghc,m4,D:\clones\ghc\m4\fp_prog_ar_needs_ranlib.m4,3,0.0,46.0
emscripten,m4,D:\clones\emscripten\tests\third_party\enet\m4\libtool.m4,760,65.0,7176.0
emscripten,m4,D:\clones\emscripten\tests\third_party\enet\m4\ltversion.m4,4,0.0,19.0
ghc,m4,D:\clones\ghc\m4\fp_find_libdw.m4,8,3.0,46.0
php-src,m4,D:\clones\php-src\ext\imap\config.m4,34,1.0,249.0
emscripten,m4,D:\clones\emscripten\tests\third_party\freetype\builds\unix\aclocal.m4,830,84.0,7045.0
emscripten,m4,D:\clones\emscripten\tests\third_party\poppler\m4\libtool.m4,738,64.0,7029.0
node,m4,D:\clones\node\deps\cares\m4\cares-confopts.m4,28,46.0,282.0
netdata,m4,D:\clones\netdata\build\m4\ax_c_statement_expressions.m4,1,0.0,22.0
php-src,m4,D:\clones\php-src\ext\simplexml\config.m4,3,0.0,18.0
obs-studio,m4,D:\clones\obs-studio\deps\jansson\configure.ac,19,0.0,99.0
netdata,m4,D:\clones\netdata\build\m4\ax_c_mallinfo.m4,0,0.0,24.0
git,m4,D:\clones\git\aclocal.m4,2,4.0,34.0
emscripten,m4,D:\clones\emscripten\tests\third_party\poppler\m4\ltsugar.m4,23,0.0,100.0
ruby,m4,D:\clones\ruby\tool\m4\ruby_cppoutfile.m4,0,1.0,17.0
php-src,m4,D:\clones\php-src\ext\odbc\config.m4,46,11.0,411.0
netdata,m4,D:\clones\netdata\configure.ac,225,0.0,1580.0
protobuf,m4,D:\clones\protobuf\m4\ax_pthread.m4,69,0.0,438.0
ghc,m4,D:\clones\ghc\m4\fp_leading_underscore.m4,1,0.0,48.0
ghc,m4,D:\clones\ghc\m4\fp_check_prog.m4,0,0.0,8.0
php-src,m4,D:\clones\php-src\build\libtool.m4,602,18.0,5753.0
php-src,m4,D:\clones\php-src\ext\json\config.m4,0,2.0,9.0
emscripten,m4,D:\clones\emscripten\tests\third_party\freealut\aclocal.m4,714,21.0,6151.0
php-src,m4,D:\clones\php-src\ext\session\config.m4,6,0.0,37.0
ghc,m4,D:\clones\ghc\m4\fp_prog_ar_args.m4,1,0.0,35.0
ghc,m4,D:\clones\ghc\libraries\base\aclocal.m4,33,5.0,233.0
ghc,m4,D:\clones\ghc\m4\ax_compare_version.m4,11,1.0,165.0
ghc,m4,D:\clones\ghc\m4\fp_visibility_hidden.m4,0,0.0,16.0
ghc,m4,D:\clones\ghc\m4\fp_check_func.m4,0,0.0,16.0
emscripten,m4,D:\clones\emscripten\tests\third_party\poppler\m4\qt.m4,1,0.0,15.0
node,m4,D:\clones\node\deps\cares\m4\zz40-xc-ovr.m4,79,176.0,413.0
php-src,m4,D:\clones\php-src\ext\ctype\config.m4,1,0.0,9.0
h2o,m4,D:\clones\h2o\deps\yaml\aclocal.m4,977,100.0,9122.0
toxcore,m4,D:\clones\toxcore\m4\ax_have_epoll.m4,3,0.0,101.0
emscripten,m4,D:\clones\emscripten\tests\third_party\freetype\builds\unix\configure.ac,137,0.0,547.0
php-src,m4,D:\clones\php-src\build\ax_func_which_gethostbyname_r.m4,31,0.0,165.0
mono,m4,D:\clones\mono\m4\lib-link.m4,12,51.0,711.0
php-src,m4,D:\clones\php-src\ext\pdo_sqlite\config.m4,9,0.0,25.0
emscripten,m4,D:\clones\emscripten\tests\third_party\openjpeg\configure.ac,0,0.0,458.0
tesseract,m4,D:\clones\tesseract\configure.ac,89,3.0,563.0
libuv,m4,D:\clones\libuv\m4\ax_pthread.m4,63,0.0,422.0
ruby,m4,D:\clones\ruby\tool\m4\ruby_try_cxxflags.m4,0,1.0,16.0
libuv,m4,D:\clones\libuv\m4\libuv-check-flags.m4,36,53.0,231.0
cphalcon,m4,D:\clones\cphalcon\ext\config.m4,11,0.0,676.0
emscripten,m4,D:\clones\emscripten\tests\third_party\enet\m4\ltoptions.m4,65,15.0,304.0
php-src,m4,D:\clones\php-src\ext\enchant\config.m4,10,0.0,32.0
ghc,m4,D:\clones\ghc\m4\ghc_select_file_extensions.m4,0,0.0,22.0
php-src,m4,D:\clones\php-src\ext\fileinfo\config.m4,11,0.0,47.0
protobuf,m4,D:\clones\protobuf\m4\stl_hash.m4,2,0.0,69.0
php-src,m4,D:\clones\php-src\build\php_cxx_compile_stdcxx.m4,219,31.0,661.0
jq,m4,D:\clones\jq\config\m4\check-math-func.m4,0,1.0,8.0
php-src,m4,D:\clones\php-src\sapi\fpm\config.m4,110,1.0,586.0
netdata,m4,D:\clones\netdata\build\m4\ax_c__generic.m4,1,0.0,27.0
lsyncd,m4,D:\clones\lsyncd\m4\ax_subst_l.m4,3,0.0,12.0
php-src,m4,D:\clones\php-src\ext\pcntl\config.m4,3,0.0,25.0
emscripten,m4,D:\clones\emscripten\tests\third_party\poppler\m4\ltoptions.m4,65,15.0,289.0
ghc,m4,D:\clones\ghc\m4\fp_check_alignment.m4,0,0.0,22.0
ruby,m4,D:\clones\ruby\tool\m4\ruby_rm_recursive.m4,0,1.0,17.0
h2o,m4,D:\clones\h2o\deps\yaml\configure.ac,12,0.0,61.0
emscripten,m4,D:\clones\emscripten\tests\third_party\bullet\acinclude.m4,239,0.0,2815.0
bitcoin,m4,D:\clones\bitcoin\build-aux\m4\ax_boost_base.m4,27,1.0,275.0
ruby,m4,D:\clones\ruby\tool\m4\ruby_werror_flag.m4,0,1.0,17.0
mono,m4,D:\clones\mono\configure.ac,792,66.0,6249.0
emscripten,m4,D:\clones\emscripten\tests\third_party\freealut\admin\autotools\m4\alut_check_func.m4,0,0.0,15.0
php-src,m4,D:\clones\php-src\ext\dba\config.m4,51,32.0,627.0
emscripten,m4,D:\clones\emscripten\tests\third_party\poppler\aclocal.m4,138,97.0,1925.0
node,m4,D:\clones\node\deps\uv\m4\ax_pthread.m4,63,0.0,422.0
ghc,m4,D:\clones\ghc\m4\fptools_set_platform_vars.m4,16,14.0,91.0
jq,m4,D:\clones\jq\config\m4\misc.m4,1,1.0,1.0
jq,m4,D:\clones\jq\config\m4\find-func-no-libs.m4,1,5.0,2.0
jq,m4,D:\clones\jq\config\m4\find-func-no-libs2.m4,5,6.0,51.0
emscripten,m4,D:\clones\emscripten\tests\third_party\enet\aclocal.m4,99,20.0,877.0
swoole-src,m4,D:\clones\swoole-src\config.m4,102,16.0,779.0
emscripten,m4,D:\clones\emscripten\tests\third_party\freetype\builds\unix\freetype2.m4,21,0.0,173.0
emscripten,m4,D:\clones\emscripten\tests\third_party\poppler\configure.ac,90,36.0,590.0
jq,m4,D:\clones\jq\config\m4\find-func.m4,0,3.0,6.0
mono,m4,D:\clones\mono\m4\ax_require_defined.m4,2,0.0,35.0
cpython,m4,D:\clones\cpython\aclocal.m4,79,131.0,461.0
php-src,m4,D:\clones\php-src\ext\mbstring\config.m4,26,3.0,158.0
disque,m4,D:\clones\disque\deps\jemalloc\configure.ac,121,106.0,1518.0
tesseract,m4,D:\clones\tesseract\m4\ax_split_version.m4,2,0.0,36.0
ghc,m4,D:\clones\ghc\m4\maybe_override_stage0.m4,0,0.0,6.0
cpython,m4,D:\clones\cpython\configure.ac,598,140.0,6179.0
bitcoin,m4,D:\clones\bitcoin\configure.ac,234,101.0,1680.0
node,m4,D:\clones\node\deps\uv\m4\libuv-check-flags.m4,36,52.0,231.0
ruby,m4,D:\clones\ruby\tool\m4\ruby_setjmp_type.m4,0,1.0,51.0
tmux,m4,D:\clones\tmux\configure.ac,50,0.0,843.0
cabal,m4,D:\clones\cabal\cabal-testsuite\PackageTests\Configure\configure.ac,5,0.0,15.0
node,m4,D:\clones\node\deps\cares\m4\cares-functions.m4,146,290.0,3319.0
emscripten,m4,D:\clones\emscripten\tests\third_party\freealut\admin\autotools\m4\alut_eval_stderr.m4,0,0.0,11.0
node,m4,D:\clones\node\deps\cares\m4\xc-am-iface.m4,40,75.0,138.0
ghc,m4,D:\clones\ghc\libraries\ghc-bignum\aclocal.m4,5,2.0,37.0
node,m4,D:\clones\node\deps\cares\acinclude.m4,84,147.0,1684.0
redis,m4,D:\clones\redis\deps\jemalloc\m4\ax_cxx_compile_stdcxx.m4,116,6.0,440.0
ghc,m4,D:\clones\ghc\m4\fp_prog_ld_flag.m4,0,0.0,17.0
ruby,m4,D:\clones\ruby\tool\m4\ruby_replace_type.m4,0,2.0,66.0
ghc,m4,D:\clones\ghc\m4\get_arm_isa.m4,2,0.0,115.0
ghc,m4,D:\clones\ghc\m4\ghc_convert_platform_parts.m4,0,0.0,9.0
ruby,m4,D:\clones\ruby\tool\m4\ruby_defint.m4,0,2.0,38.0
php-src,m4,D:\clones\php-src\sapi\phpdbg\config.m4,17,0.0,99.0
rethinkdb,m4,D:\clones\rethinkdb\external\gtest_1.7.0\configure.ac,10,0.0,58.0
php-src,m4,D:\clones\php-src\ext\xml\config.m4,6,0.0,31.0
h2o,m4,D:\clones\h2o\deps\brotli\configure.ac,5,1.0,8.0
node,m4,D:\clones\node\deps\cares\m4\ax_add_am_macro_static.m4,2,0.0,26.0
ghc,m4,D:\clones\ghc\m4\fptools_write_file.m4,0,0.0,9.0
ruby,m4,D:\clones\ruby\configure.ac,292,18.0,4100.0
ruby,m4,D:\clones\ruby\tool\m4\ruby_decl_attribute.m4,0,2.0,43.0
ghc,m4,D:\clones\ghc\m4\fp_cpp_cmd_with_args.m4,8,4.0,87.0
protobuf,m4,D:\clones\protobuf\m4\ac_system_extensions.m4,2,1.0,34.0
php-src,m4,D:\clones\php-src\build\pkg.m4,29,110.0,136.0
node,m4,D:\clones\node\deps\cares\m4\cares-reentrant.m4,53,97.0,461.0
tesseract,m4,D:\clones\tesseract\m4\ax_check_compile_flag.m4,2,0.0,51.0
xgboost,m4,D:\clones\xgboost\R-package\configure.ac,9,0.0,45.0
ghc,m4,D:\clones\ghc\m4\fp_cc_supports__atomics.m4,1,3.0,68.0
php-src,m4,D:\clones\php-src\ext\iconv\config.m4,16,0.0,139.0
emscripten,m4,D:\clones\emscripten\tests\third_party\poppler\m4\libjpeg.m4,8,9.0,91.0
netdata,m4,D:\clones\netdata\build\m4\ax_check_compile_flag.m4,2,0.0,48.0
ghc,m4,D:\clones\ghc\m4\fp_curses.m4,3,0.0,18.0
tarantool,m4,D:\clones\tarantool\third_party\libev\configure.ac,8,2.0,17.0
ghc,m4,D:\clones\ghc\m4\fp_prog_find.m4,0,0.0,18.0
ghc,m4,D:\clones\ghc\m4\fp_prog_ld_build_id.m4,2,0.0,18.0
php-src,m4,D:\clones\php-src\sapi\cli\config.m4,11,0.0,50.0
emscripten,m4,D:\clones\emscripten\tests\third_party\poppler\m4\define-dir.m4,1,21.0,12.0
php-src,m4,D:\clones\php-src\ext\readline\config.m4,21,0.0,122.0
ghc,m4,D:\clones\ghc\m4\fp_prog_ld_no_compact_unwind.m4,0,0.0,18.0
grpc,m4,D:\clones\grpc\src\php\ext\grpc\config.m4,27,1.0,125.0
ruby,m4,D:\clones\ruby\tool\m4\ruby_universal_arch.m4,1,6.0,115.0
ghc,m4,D:\clones\ghc\m4\fp_prog_sort.m4,0,0.0,18.0
ghc,m4,D:\clones\ghc\m4\fp_check_pthreads.m4,7,3.0,110.0
php-src,m4,D:\clones\php-src\build\ax_check_compile_flag.m4,2,0.0,51.0
ghc,m4,D:\clones\ghc\m4\fptools_nocache_check.m4,0,6.0,5.0
ruby,m4,D:\clones\ruby\tool\m4\ruby_check_sizeof.m4,0,2.0,106.0
php-src,m4,D:\clones\php-src\ext\pdo_odbc\config.m4,23,0.0,121.0
redis,m4,D:\clones\redis\deps\jemalloc\configure.ac,170,149.0,2087.0
php-src,m4,D:\clones\php-src\ext\hash\config.m4,7,0.0,44.0
ghc,m4,D:\clones\ghc\m4\fp_check_environ.m4,0,0.0,17.0
ghc,m4,D:\clones\ghc\m4\find_ghc_bootstrap_prog.m4,0,0.0,17.0
rethinkdb,m4,D:\clones\rethinkdb\external\gtest_1.7.0\m4\gtest.m4,0,10.0,64.0
protobuf,m4,D:\clones\protobuf\php\ext\google\protobuf\config.m4,3,0.0,7.0
php-src,m4,D:\clones\php-src\ext\gmp\config.m4,6,0.0,29.0
ghc,m4,D:\clones\ghc\m4\fp_find_nm.m4,2,0.0,38.0
ghc,m4,D:\clones\ghc\m4\fp_set_cflags_c99.m4,0,0.0,38.0
netdata,m4,D:\clones\netdata\build\m4\ax_gcc_func_attribute.m4,5,0.0,218.0
ghc,m4,D:\clones\ghc\m4\fp_copy_shellvar.m4,0,0.0,3.0
bitcoin,m4,D:\clones\bitcoin\build-aux\m4\bitcoin_qt.m4,27,53.0,317.0
mono,m4,D:\clones\mono\m4\nls.m4,3,17.0,12.0
node,m4,D:\clones\node\deps\openssl\openssl\crypto\des\asm\des_enc.m4,505,0.0,1461.0
php-src,m4,D:\clones\php-src\ext\tokenizer\config.m4,1,0.0,9.0
node,m4,D:\clones\node\deps\cares\m4\libtool.m4,768,64.0,7562.0
php-src,m4,D:\clones\php-src\ext\sockets\config.m4,15,0.0,91.0
ghc,m4,D:\clones\ghc\m4\fptools_ghc_version.m4,1,8.0,40.0
tarantool,m4,D:\clones\tarantool\third_party\libev\aclocal.m4,927,104.0,7926.0
ruby,m4,D:\clones\ruby\tool\m4\ruby_thread.m4,2,1.0,34.0
node,m4,D:\clones\node\deps\cares\m4\ax_cxx_compile_stdcxx_11.m4,17,0.0,146.0
tarantool,m4,D:\clones\tarantool\third_party\libeio\configure.ac,7,0.0,15.0
bitcoin,m4,D:\clones\bitcoin\src\univalue\build-aux\m4\ax_cxx_compile_stdcxx.m4,219,7.0,736.0
bitcoin,m4,D:\clones\bitcoin\src\univalue\configure.ac,15,3.0,54.0
php-src,m4,D:\clones\php-src\sapi\cgi\config9.m4,9,1.0,59.0
ghc,m4,D:\clones\ghc\m4\fp_find_libnuma.m4,9,0.0,51.0
emscripten,m4,D:\clones\emscripten\tests\third_party\freealut\configure.ac,38,0.0,181.0
cabal,m4,D:\clones\cabal\cabal-testsuite\PackageTests\AutoconfBadPaths\configure.ac,1,0.0,2.0
ghc,m4,D:\clones\ghc\m4\ghc_adjustors_method.m4,3,3.0,43.0
php-src,m4,D:\clones\php-src\ext\snmp\config.m4,8,0.0,67.0
node,m4,D:\clones\node\deps\cares\m4\ax_file_escapes.m4,2,0.0,28.0
ruby,m4,D:\clones\ruby\tool\m4\ruby_mingw32.m4,0,1.0,23.0
git,m4,D:\clones\git\configure.ac,118,10.0,1156.0
