project,language,filename,blank,comment,code
Opserver,CSS,D:\clones\Opserver\Opserver\Content\themes\dark\styles.css,28,154.0,11127.0
Opserver,CSS,D:\clones\Opserver\Opserver\Content\themes\light\styles.css,28,154.0,10956.0
Opserver,JavaScript,D:\clones\Opserver\Opserver\Content\js\jquery-1.11.3.js,1762,1739.0,6850.0
Opserver,JavaScript,D:\clones\Opserver\Opserver\Content\js\plugins\qp.js,993,1190.0,4135.0
Opserver,C#,D:\clones\Opserver\Opserver.Core\Data\SQL\QueryPlans\ShowPlanXML.generated.cs,1029,1039.0,2731.0
Opserver,SVG,D:\clones\Opserver\Opserver\Content\font-awesome\fonts\fontawesome-webfont.svg,0,0.0,2671.0
Opserver,JavaScript,D:\clones\Opserver\Opserver\Content\js\Scripts.js,262,86.0,2299.0
Opserver,JavaScript,D:\clones\Opserver\Opserver\Content\js\plugins\tablesorter.js,77,187.0,1179.0
Opserver,C#,D:\clones\Opserver\Opserver.Core\Data\SQL\SQLInstance.Databases.cs,96,56.0,1148.0
Opserver,JavaScript,D:\clones\Opserver\Opserver\Content\js\plugins\isotope.js,260,260.0,938.0
Opserver,LESS,D:\clones\Opserver\Opserver\Content\font-awesome\less\variables.less,3,3.0,794.0
Opserver,LESS,D:\clones\Opserver\Opserver\Content\font-awesome\less\icons.less,1,2.0,786.0
Opserver,LESS,D:\clones\Opserver\Opserver\Content\themes\_shared.less,116,4.0,752.0
Opserver,XSLT,D:\clones\Opserver\Opserver\Content\transforms\qp.xslt,90,65.0,716.0
Opserver,MSBuild script,D:\clones\Opserver\Opserver\Opserver.csproj,0,0.0,709.0
Opserver,Markdown,D:\clones\Opserver\Opserver\Help\SQL\WaitStats.md,7,0.0,585.0
Opserver,C#,D:\clones\Opserver\Opserver.Core\Data\Dashboard\Providers\WmiDataProvider.Polling.cs,79,11.0,566.0
Opserver,C#,D:\clones\Opserver\Opserver.Core\Data\Elastic\ElasticCluster.Nodes.cs,68,17.0,488.0
Opserver,LESS,D:\clones\Opserver\Opserver\Content\bootstrap\less\navbar.less,98,84.0,478.0
Opserver,Razor,D:\clones\Opserver\Opserver\Views\HAProxy\HAProxy.Dashboard.cshtml,23,5.0,456.0
Opserver,C#,D:\clones\Opserver\Opserver.Core\Data\Dashboard\Providers\BosunDataProvider.Nodes.cs,44,16.0,452.0
Opserver,C#,D:\clones\Opserver\Opserver\ExtensionMethods.cs,55,88.0,446.0
Opserver,C#,D:\clones\Opserver\Opserver.Core\Data\Dashboard\Providers\OrionDataProvider.cs,47,2.0,434.0
