project,language,filename,blank,comment,code
aleph,Clojure,D:\clones\aleph\src\aleph\netty.clj,126,18.0,929.0
aleph,Clojure,D:\clones\aleph\src\aleph\http\client_middleware.clj,132,25.0,798.0
aleph,Clojure,D:\clones\aleph\src\aleph\http\client.clj,97,40.0,736.0
aleph,Clojure,D:\clones\aleph\src\aleph\http\server.clj,99,44.0,681.0
aleph,Clojure,D:\clones\aleph\src\aleph\http\core.clj,97,15.0,571.0
aleph,Clojure,D:\clones\aleph\test\aleph\http_test.clj,76,6.0,457.0
aleph,Clojure,D:\clones\aleph\src\aleph\http.clj,53,10.0,393.0
aleph,Clojure,D:\clones\aleph\test\aleph\websocket_test.clj,32,2.0,265.0
aleph,Clojure,D:\clones\aleph\src\aleph\http\multipart.clj,18,24.0,211.0
aleph,Clojure,D:\clones\aleph\test\aleph\http\multipart_test.clj,27,13.0,196.0
aleph,Markdown,D:\clones\aleph\CHANGES.md,44,0.0,165.0
aleph,Clojure,D:\clones\aleph\test\aleph\http\client_middleware_test.clj,10,1.0,158.0
aleph,Clojure,D:\clones\aleph\src\aleph\tcp.clj,18,0.0,150.0
aleph,Clojure,D:\clones\aleph\examples\src\aleph\examples\http.clj,32,55.0,149.0
aleph,Clojure,D:\clones\aleph\src\aleph\flow.clj,8,0.0,99.0
aleph,Clojure,D:\clones\aleph\examples\src\aleph\examples\tcp.clj,31,65.0,93.0
aleph,Clojure,D:\clones\aleph\examples\src\aleph\examples\websocket.clj,28,10.0,92.0
aleph,Clojure,D:\clones\aleph\src\aleph\udp.clj,7,0.0,92.0
aleph,Clojure,D:\clones\aleph\test\aleph\http_continue_test.clj,18,0.0,90.0
aleph,Clojure,D:\clones\aleph\test\aleph\ring_test.clj,16,1.0,81.0
aleph,Markdown,D:\clones\aleph\README.md,47,0.0,78.0
aleph,Clojure,D:\clones\aleph\test\aleph\http\client_test.clj,1,0.0,64.0
aleph,Clojure,D:\clones\aleph\project.clj,3,4.0,59.0
aleph,Clojure,D:\clones\aleph\examples\src\aleph\examples\udp.clj,15,13.0,47.0
aleph,Clojure,D:\clones\aleph\test\aleph\ssl.clj,8,0.0,47.0
aleph,Clojure,D:\clones\aleph\src\aleph\http\encoding.clj,5,1.0,46.0
aleph,Clojure,D:\clones\aleph\test\aleph\tcp_ssl_test.clj,4,2.0,30.0
aleph,Clojure,D:\clones\aleph\test\aleph\udp_test.clj,3,0.0,23.0
aleph,Clojure,D:\clones\aleph\test\aleph\tcp_test.clj,4,0.0,22.0
aleph,YAML,D:\clones\aleph\.circleci\config.yml,7,13.0,21.0
aleph,Markdown,D:\clones\aleph\LICENSE.md,4,0.0,17.0
aleph,Clojure,D:\clones\aleph\test\aleph\http\core_test.clj,1,0.0,17.0
aleph,Java,D:\clones\aleph\src\aleph\utils\ConnectionTimeoutException.java,7,0.0,16.0
aleph,Java,D:\clones\aleph\src\aleph\utils\PoolTimeoutException.java,7,0.0,16.0
aleph,Java,D:\clones\aleph\src\aleph\utils\ProxyConnectionTimeoutException.java,7,0.0,16.0
aleph,Java,D:\clones\aleph\src\aleph\utils\ReadTimeoutException.java,7,0.0,16.0
aleph,Java,D:\clones\aleph\src\aleph\utils\RequestTimeoutException.java,7,0.0,16.0
aleph,Clojure,D:\clones\aleph\examples\project.clj,0,0.0,7.0
aleph,Clojure,D:\clones\aleph\resources\clj-kondo.exports\clj-commons\aleph\aleph\clj_kondo_hooks.clj,1,0.0,5.0
