project,language,filename,blank,comment,code
amrita,Elixir,D:\clones\amrita\lib\amrita\formatter\documentation.ex,65,8.0,289.0
amrita,Elixir,D:\clones\amrita\lib\amrita\formatter\progress.ex,71,93.0,272.0
amrita,Elixir,D:\clones\amrita\test\integration\t_amrita.exs,89,5.0,267.0
amrita,Markdown,D:\clones\amrita\README.md,111,0.0,245.0
amrita,Elixir,D:\clones\amrita\lib\amrita\engine\runner.ex,57,22.0,225.0
amrita,Elixir,D:\clones\amrita\test\integration\t_mocks.exs,49,0.0,214.0
amrita,Elixir,D:\clones\amrita\lib\amrita\mocks.ex,54,29.0,184.0
amrita,Elixir,D:\clones\amrita\lib\amrita.ex,40,73.0,133.0
amrita,Elixir,D:\clones\amrita\lib\amrita\checkers\simple.ex,40,61.0,130.0
amrita,Elixir,D:\clones\amrita\test\unit\amrita\elixir\t_pipeline.exs,39,0.0,102.0
amrita,Elixir,D:\clones\amrita\lib\amrita\checkers\collection.ex,33,39.0,100.0
amrita,Elixir,D:\clones\amrita\lib\mix\tasks\amrita.ex,22,8.0,87.0
amrita,Elixir,D:\clones\amrita\lib\amrita\elixir\pipeline.ex,16,7.0,73.0
amrita,Elixir,D:\clones\amrita\lib\amrita\engine\on_exit_handler.ex,14,1.0,73.0
amrita,Elixir,D:\clones\amrita\lib\amrita\engine\filters.ex,26,37.0,71.0
amrita,Elixir,D:\clones\amrita\test\test_helper.exs,13,1.0,54.0
amrita,Elixir,D:\clones\amrita\lib\amrita\formatter\format.ex,16,3.0,52.0
amrita,Elixir,D:\clones\amrita\lib\amrita\checkers.ex,19,11.0,48.0
amrita,Elixir,D:\clones\amrita\mix.exs,10,3.0,46.0
amrita,Elixir,D:\clones\amrita\test\unit\amrita\t_mocks.exs,16,0.0,45.0
amrita,Elixir,D:\clones\amrita\lib\amrita\mocks\history.ex,10,0.0,44.0
amrita,Elixir,D:\clones\amrita\test\integration\t_mix.exs,14,0.0,41.0
amrita,Elixir,D:\clones\amrita\lib\amrita\checkers\exceptions.ex,9,12.0,40.0
amrita,Elixir,D:\clones\amrita\lib\amrita\engine\event_manager.ex,12,3.0,39.0
amrita,make,D:\clones\amrita\Makefile,10,0.0,36.0
amrita,Elixir,D:\clones\amrita\lib\amrita\mock_error.ex,8,0.0,34.0
amrita,Elixir,D:\clones\amrita\lib\amrita\engine\start.ex,10,1.0,32.0
amrita,Elixir,D:\clones\amrita\lib\amrita\syntax\describe.ex,8,6.0,31.0
amrita,Elixir,D:\clones\amrita\test\integration\t_checkers.exs,9,13.0,31.0
amrita,Elixir,D:\clones\amrita\lib\amrita\engine\test_picker.ex,3,1.0,30.0
amrita,Elixir,D:\clones\amrita\lib\amrita\engine\runner_stats.ex,8,1.0,29.0
amrita,Elixir,D:\clones\amrita\test\unit\amrita\t_checker.exs,8,0.0,28.0
amrita,Elixir,D:\clones\amrita\test\integration\t_scoping.exs,10,0.0,26.0
amrita,Elixir,D:\clones\amrita\test\unit\amrita\mocks\t_history.exs,10,2.0,25.0
amrita,Elixir,D:\clones\amrita\lib\amrita\fact_error.ex,5,0.0,24.0
amrita,Elixir,D:\clones\amrita\test\unit\amrita\t_mock_error.exs,6,0.0,24.0
amrita,Elixir,D:\clones\amrita\lib\amrita\message.ex,4,0.0,18.0
amrita,Elixir,D:\clones\amrita\test\unit\t_amrita.exs,5,0.0,17.0
amrita,Elixir,D:\clones\amrita\test\integration\t_callback.exs,5,0.0,15.0
amrita,Elixir,D:\clones\amrita\lib\amrita\checkers\messages.ex,6,10.0,14.0
amrita,Elixir,D:\clones\amrita\test\unit\amrita\t_fact_error.exs,6,0.0,14.0
amrita,Elixir,D:\clones\amrita\lib\amrita\elixir\version.ex,4,0.0,13.0
amrita,Elixir,D:\clones\amrita\test\integration\t_describe.exs,6,31.0,13.0
amrita,Elixir,D:\clones\amrita\test\unit\amrita\elixir\t_version.exs,3,0.0,12.0
amrita,Elixir,D:\clones\amrita\package.exs,1,0.0,8.0
amrita,Elixir,D:\clones\amrita\test\integration\t_async.exs,3,0.0,7.0
amrita,YAML,D:\clones\amrita\.travis.yml,0,0.0,6.0
amrita,Elixir,D:\clones\amrita\lib\amrita\system.ex,2,3.0,5.0
amrita,Elixir,D:\clones\amrita\lib\amrita\fact_pending.ex,0,0.0,3.0
