project,language,filename,blank,comment,code
atom,JavaScript,D:\clones\atom\spec\helpers\words.js,1,5.0,46885.0
atom,JSON,D:\clones\atom\script\package-lock.json,0,0.0,13263.0
atom,JSON,D:\clones\atom\package-lock.json,0,0.0,8956.0
atom,JavaScript,D:\clones\atom\spec\text-editor-spec.js,1191,37.0,7669.0
atom,JSON,D:\clones\atom\script\vsts\package-lock.json,0,0.0,6870.0
atom,JavaScript,D:\clones\atom\spec\text-editor-component-spec.js,638,156.0,5531.0
atom,JavaScript,D:\clones\atom\src\deprecated-syntax-selectors.js,0,0.0,5476.0
atom,JSON,D:\clones\atom\apm\package-lock.json,0,0.0,4730.0
atom,JavaScript,D:\clones\atom\src\text-editor-component.js,579,142.0,4490.0
atom,JavaScript,D:\clones\atom\src\text-editor.js,634,1733.0,3488.0
atom,JavaScript,D:\clones\atom\spec\workspace-spec.js,570,27.0,3397.0
atom,JSON,D:\clones\atom\packages\dalek\package-lock.json,0,0.0,2283.0
atom,JSON,D:\clones\atom\packages\welcome\package-lock.json,0,0.0,2178.0
atom,JavaScript,D:\clones\atom\spec\config-spec.js,287,4.0,2087.0
atom,JavaScript,D:\clones\atom\spec\tree-sitter-language-mode-spec.js,305,414.0,1893.0
atom,JSON,D:\clones\atom\packages\about\package-lock.json,0,0.0,1806.0
atom,JavaScript,D:\clones\atom\src\main-process\atom-application.js,217,152.0,1746.0
atom,JSON,D:\clones\atom\script\deprecated-packages.json,0,0.0,1713.0
atom,JavaScript,D:\clones\atom\vendor\jasmine.js,364,627.0,1706.0
atom,JavaScript,D:\clones\atom\spec\package-manager-spec.js,257,2.0,1656.0
atom,XML,D:\clones\atom\resources\mac\atom-Info.plist,0,0.0,1566.0
atom,JavaScript,D:\clones\atom\spec\pane-spec.js,260,2.0,1469.0
atom,JavaScript,D:\clones\atom\spec\main-process\atom-application.test.js,277,64.0,1414.0
atom,JavaScript,D:\clones\atom\src\workspace.js,194,701.0,1376.0
atom,JavaScript,D:\clones\atom\src\tree-sitter-language-mode.js,181,66.0,1309.0
atom,JavaScript,D:\clones\atom\src\atom-environment.js,229,269.0,1274.0
atom,JavaScript,D:\clones\atom\src\package.js,142,67.0,1201.0
atom,JavaScript,D:\clones\atom\spec\project-spec.js,208,9.0,1153.0
atom,JavaScript,D:\clones\atom\src\config.js,112,592.0,1011.0
atom,JavaScript,D:\clones\atom\src\pane.js,145,347.0,938.0
atom,JavaScript,D:\clones\atom\spec\workspace-element-spec.js,139,45.0,920.0
atom,JavaScript,D:\clones\atom\spec\text-mate-language-mode-spec.js,169,418.0,910.0
atom,JavaScript,D:\clones\atom\src\text-mate-language-mode.js,111,29.0,874.0
atom,Markdown,D:\clones\atom\spec\fixtures\git\repo-with-submodules\You-Dont-Need-jQuery\README.md,336,0.0,855.0
atom,JavaScript,D:\clones\atom\spec\atom-environment-spec.js,126,2.0,787.0
atom,JavaScript,D:\clones\atom\src\selection.js,140,312.0,782.0
atom,JavaScript,D:\clones\atom\spec\grammar-registry-spec.js,140,6.0,764.0
atom,JavaScript,D:\clones\atom\src\package-manager.js,128,147.0,759.0
atom,JavaScript,D:\clones\atom\src\config-schema.js,8,5.0,658.0
atom,JavaScript,D:\clones\atom\src\dock.js,106,222.0,579.0
atom,JavaScript,D:\clones\atom\src\tooltip.js,118,8.0,565.0
atom,JavaScript,D:\clones\atom\src\project.js,88,226.0,562.0
atom,JavaScript,D:\clones\atom\spec\theme-manager-spec.js,99,9.0,543.0
atom,JavaScript,D:\clones\atom\packages\deprecation-cop\lib\deprecation-cop-view.js,50,7.0,527.0
atom,JSON,D:\clones\atom\script\lib\update-dependency\spec\fixtures\create-pr-response.json,0,0.0,524.0
atom,JavaScript,D:\clones\atom\spec\text-editor-registry-spec.js,129,13.0,507.0
atom,JavaScript,D:\clones\atom\src\path-watcher.js,112,205.0,505.0
atom,Markdown,D:\clones\atom\spec\fixtures\git\repo-with-submodules\You-Dont-Need-jQuery\README.ko-KR.md,208,0.0,501.0
atom,JavaScript,D:\clones\atom\src\cursor.js,105,230.0,498.0
atom,CoffeeScript,D:\clones\atom\packages\autoflow\spec\autoflow-spec.coffee,122,28.0,489.0
atom,JavaScript,D:\clones\atom\src\grammar-registry.js,69,123.0,477.0
atom,Markdown,D:\clones\atom\spec\fixtures\git\repo-with-submodules\You-Dont-Need-jQuery\README-tr.md,195,0.0,470.0
atom,JavaScript,D:\clones\atom\spec\context-menu-manager-spec.js,55,0.0,467.0
atom,Markdown,D:\clones\atom\spec\fixtures\git\repo-with-submodules\You-Dont-Need-jQuery\README.zh-CN.md,190,0.0,466.0
atom,JavaScript,D:\clones\atom\packages\exception-reporting\spec\reporter-spec.js,82,6.0,464.0
atom,Markdown,D:\clones\atom\spec\fixtures\git\repo-with-submodules\You-Dont-Need-jQuery\README-it.md,191,0.0,460.0
atom,Markdown,D:\clones\atom\spec\fixtures\git\repo-with-submodules\You-Dont-Need-jQuery\README-ru.md,190,0.0,460.0
atom,LESS,D:\clones\atom\static\atom-ui\styles\private\forms.less,93,158.0,454.0
atom,Markdown,D:\clones\atom\spec\fixtures\git\repo-with-submodules\You-Dont-Need-jQuery\README-es.md,185,0.0,452.0
atom,JavaScript,D:\clones\atom\spec\main-process\atom-window.test.js,71,1.0,452.0
atom,Markdown,D:\clones\atom\spec\fixtures\git\repo-with-submodules\You-Dont-Need-jQuery\README-id.md,184,0.0,450.0
atom,Markdown,D:\clones\atom\spec\fixtures\git\repo-with-submodules\You-Dont-Need-jQuery\README-vi.md,185,0.0,449.0
atom,JavaScript,D:\clones\atom\spec\pane-container-spec.js,84,1.0,447.0
atom,JavaScript,D:\clones\atom\packages\welcome\lib\guide-view.js,31,2.0,444.0
atom,Markdown,D:\clones\atom\spec\fixtures\git\repo-with-submodules\You-Dont-Need-jQuery\README.pt-BR.md,185,0.0,443.0
atom,Markdown,D:\clones\atom\spec\fixtures\git\repo-with-submodules\You-Dont-Need-jQuery\README-my.md,179,0.0,436.0
atom,JavaScript,D:\clones\atom\src\main-process\atom-window.js,92,18.0,429.0
atom,JavaScript,D:\clones\atom\src\workspace-element.js,61,5.0,420.0
atom,JavaScript,D:\clones\atom\spec\text-editor-element-spec.js,99,1.0,419.0
atom,JavaScript,D:\clones\atom\spec\command-registry-spec.js,77,0.0,407.0
atom,Markdown,D:\clones\atom\CONTRIBUTING.md,103,0.0,400.0
atom,JSON,D:\clones\atom\script\update-server\package-lock.json,0,0.0,378.0
atom,JavaScript,D:\clones\atom\spec\git-repository-spec.js,75,2.0,370.0
atom,JavaScript,D:\clones\atom\spec\dock-spec.js,63,5.0,360.0
atom,JavaScript,D:\clones\atom\src\theme-manager.js,52,52.0,360.0
atom,JavaScript,D:\clones\atom\spec\update-process-env-spec.js,41,13.0,339.0
atom,JavaScript,D:\clones\atom\packages\about\spec\update-view-spec.js,53,1.0,333.0
atom,JavaScript,D:\clones\atom\script\lib\generate-startup-snapshot.js,8,3.0,333.0
atom,CoffeeScript,D:\clones\atom\src\register-default-commands.coffee,17,0.0,331.0
atom,JavaScript,D:\clones\atom\packages\line-ending-selector\spec\line-ending-selector-spec.js,55,0.0,323.0
atom,JavaScript,D:\clones\atom\src\application-delegate.js,78,17.0,320.0
atom,JavaScript,D:\clones\atom\src\module-cache.js,54,7.0,315.0
atom,JavaScript,D:\clones\atom\spec\native-watcher-registry-spec.js,70,7.0,312.0
atom,JavaScript,D:\clones\atom\src\command-registry.js,43,135.0,304.0
atom,JavaScript,D:\clones\atom\spec\package-spec.js,51,2.0,303.0
atom,JavaScript,D:\clones\atom\src\git-repository.js,68,254.0,299.0
atom,JavaScript,D:\clones\atom\src\decoration-manager.js,34,0.0,294.0
atom,JavaScript,D:\clones\atom\src\pane-container.js,56,1.0,294.0
atom,JSON,D:\clones\atom\package.json,0,0.0,288.0
atom,LESS,D:\clones\atom\static\atom-ui\styles\inputs.less,57,40.0,286.0
atom,JavaScript,D:\clones\atom\src\window-event-handler.js,40,4.0,280.0
atom,Markdown,D:\clones\atom\docs\rfcs\003-consolidate-core-packages.md,66,0.0,279.0
atom,JavaScript,D:\clones\atom\src\style-manager.js,30,69.0,279.0
atom,JavaScript,D:\clones\atom\spec\pane-element-spec.js,58,0.0,278.0
atom,JavaScript,D:\clones\atom\packages\git-diff\spec\git-diff-spec.js,41,0.0,272.0
