project,language,filename,blank,comment,code
create-react-app,JSON,D:\clones\create-react-app\package-lock.json,0,0.0,52774.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\fixtures\bundle_u.mjs,5542,11839.0,24107.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\fixtures\bundle.mjs,5475,11700.0,24049.0
create-react-app,Markdown,D:\clones\create-react-app\CHANGELOG-1.x.md,565,0.0,1305.0
create-react-app,Markdown,D:\clones\create-react-app\CHANGELOG-2.x.md,260,0.0,1134.0
create-react-app,Markdown,D:\clones\create-react-app\CHANGELOG-3.x.md,272,0.0,1052.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\create-react-app\createReactApp.js,80,106.0,937.0
create-react-app,Markdown,D:\clones\create-react-app\CHANGELOG-0.x.md,508,0.0,927.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\config\webpack.config.js,19,198.0,579.0
create-react-app,JSON,D:\clones\create-react-app\packages\react-error-overlay\fixtures\bundle.json,0,0.0,518.0
create-react-app,Markdown,D:\clones\create-react-app\CHANGELOG-4.x.md,95,0.0,408.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,29,66.0,348.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\deployment.md,180,0.0,328.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\launchEditor.js,28,46.0,326.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\scripts\init.js,45,45.0,326.0
create-react-app,Markdown,D:\clones\create-react-app\packages\react-dev-utils\README.md,93,0.0,303.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\scripts\eject.js,36,38.0,271.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\fixtures\kitchensink\template\src\App.js,16,12.0,249.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\scripts\utils\verifyTypeScriptSetup.js,30,20.0,248.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\eslint-config-react-app\index.js,16,36.0,239.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\running-tests.md,111,0.0,233.0
create-react-app,Markdown,D:\clones\create-react-app\CHANGELOG.md,48,0.0,189.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\webpackHotDevClient.js,40,68.0,186.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\scripts\build.js,22,29.0,174.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\containers\StackFrame.js,17,10.0,153.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\index.js,22,18.0,153.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\making-a-progressive-web-app.md,32,0.0,144.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\babel-preset-react-app\create.js,10,73.0,144.0
create-react-app,Bourne Shell,D:\clones\create-react-app\tasks\e2e-installs.sh,54,83.0,141.0
create-react-app,Markdown,D:\clones\create-react-app\README.md,80,0.0,140.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\FileSizeReporter.js,8,9.0,139.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\scripts\utils\createJestConfig.js,9,11.0,132.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\ModuleNotFoundPlugin.js,14,6.0,124.0
create-react-app,JavaScript,D:\clones\create-react-app\test\fixtures\webpack-message-formatting\index.test.js,26,5.0,124.0
create-react-app,JavaScript,D:\clones\create-react-app\docusaurus\website\src\pages\index.js,8,6.0,123.0
create-react-app,Bourne Shell,D:\clones\create-react-app\tasks\e2e-simple.sh,60,81.0,123.0
create-react-app,JSON,D:\clones\create-react-app\packages\react-error-overlay\fixtures\bundle2.json,0,0.0,122.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\scripts\start.js,15,25.0,122.0
create-react-app,JavaScript,D:\clones\create-react-app\docusaurus\website\docusaurus.config.js,2,6.0,119.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\config\paths.js,14,24.0,115.0
create-react-app,Bourne Shell,D:\clones\create-react-app\tasks\local-test.sh,9,4.0,115.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\setting-up-your-editor.md,48,0.0,112.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\fixtures\kitchensink\template\integration\webpack.test.js,25,7.0,112.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\__tests__\getPublicUrlOrPath.test.js,5,12.0,111.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\adding-custom-environment-variables.md,56,0.0,110.0
create-react-app,JavaScript,D:\clones\create-react-app\test\integration\create-react-app\index.test.js,33,19.0,110.0
create-react-app,Markdown,D:\clones\create-react-app\CONTRIBUTING.md,70,0.0,109.0
create-react-app,Markdown,D:\clones\create-react-app\.github\ISSUE_TEMPLATE\bug_report.md,53,0.0,108.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\openBrowser.js,14,31.0,108.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\getting-started.md,55,0.0,107.0
create-react-app,JSON,D:\clones\create-react-app\packages\react-scripts\package.json,0,0.0,107.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\printHostingInstructions.js,16,11.0,101.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\fixtures\kitchensink\template\integration\syntax.test.js,33,6.0,98.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\scripts\test.js,9,23.0,97.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\babel-plugin-named-asset-import\index.test.js,2,0.0,96.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\utils\unmapper.js,4,23.0,95.0
create-react-app,JavaScript,D:\clones\create-react-app\test\fixtures\__shared__\util\setup.js,12,1.0,90.0
create-react-app,JavaScript,D:\clones\create-react-app\tasks\cra.js,15,16.0,89.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\ModuleScopePlugin.js,5,14.0,88.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\formatWebpackMessages.js,16,24.0,88.0
create-react-app,JSON,D:\clones\create-react-app\packages\react-dev-utils\package.json,0,0.0,87.0
create-react-app,JSON,D:\clones\create-react-app\packages\react-error-overlay\fixtures\bundle-default.json,0,0.0,86.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\styles.js,5,40.0,86.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\utils\getSourceMap.js,10,33.0,86.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\babel-plugin-named-asset-import\index.js,12,0.0,83.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\fixtures\kitchensink\template\integration\initDOM.js,16,9.0,83.0
create-react-app,JavaScript,D:\clones\create-react-app\test\fixtures\__shared__\util\scripts.js,8,0.0,83.0
create-react-app,JSON,D:\clones\create-react-app\packages\react-error-overlay\package.json,0,0.0,80.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\containers\StackFrameCodeBlock.js,9,11.0,80.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\config\modules.js,24,38.0,80.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\utils\stack-frame.js,14,27.0,79.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\browsersHelper.js,11,7.0,77.0
create-react-app,Bourne Shell,D:\clones\create-react-app\tasks\e2e-kitchensink-eject.sh,29,47.0,77.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\proxying-api-requests-in-development.md,39,0.0,76.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\babel-preset-react-app\dependencies.js,10,57.0,76.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\eslintFormatter.js,18,17.0,76.0
create-react-app,Bourne Shell,D:\clones\create-react-app\tasks\e2e-kitchensink.sh,27,45.0,74.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\build.js,16,8.0,73.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\containers\StackTrace.js,14,7.0,73.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\listenToRuntimeErrors.js,8,7.0,73.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\__tests__\mapper.js,6,6.0,72.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\containers\RuntimeErrorContainer.js,10,7.0,72.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\utils\parser.js,7,15.0,71.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-dev-utils\getProcessForPort.js,13,6.0,70.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\utils\generateAnsiHTML.js,8,9.0,70.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\troubleshooting.md,40,0.0,69.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\webpack.config.iframe.js,2,13.0,65.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\custom-templates.md,26,0.0,64.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\components\Collapsible.js,10,7.0,64.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\config\webpackDevServer.config.js,6,66.0,63.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\create-react-app\__tests__\getTemplateInstallPackage.test.js,14,6.0,62.0
create-react-app,CSS,D:\clones\create-react-app\docusaurus\website\src\css\custom.css,12,1.0,61.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\confusing-browser-globals\index.js,2,6.0,61.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\components\ErrorOverlay.js,10,7.0,61.0
create-react-app,JSON,D:\clones\create-react-app\package.json,0,0.0,60.0
create-react-app,JSON,D:\clones\create-react-app\docusaurus\website\sidebars.json,0,0.0,59.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\__tests__\unmapper.js,7,6.0,59.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\config\env.js,10,43.0,59.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-scripts\fixtures\kitchensink\template\integration\env.test.js,12,6.0,59.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\utils\mapper.js,4,12.0,58.0
create-react-app,Markdown,D:\clones\create-react-app\CODE_OF_CONDUCT.md,19,0.0,57.0
create-react-app,Markdown,D:\clones\create-react-app\packages\eslint-config-react-app\README.md,22,0.0,56.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\loading-graphql-files.md,14,0.0,55.0
create-react-app,Markdown,D:\clones\create-react-app\packages\react-app-polyfill\README.md,28,0.0,55.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\components\NavigationBar.js,10,7.0,55.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\adding-css-reset.md,19,0.0,54.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\iframeScript.js,6,8.0,54.0
create-react-app,TypeScript,D:\clones\create-react-app\packages\react-scripts\lib\react-app.d.ts,14,3.0,54.0
create-react-app,JSON,D:\clones\create-react-app\.eslintrc.json,0,0.0,52.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\adding-a-sass-stylesheet.md,16,0.0,52.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\importing-a-component.md,24,0.0,52.0
create-react-app,Markdown,D:\clones\create-react-app\docusaurus\docs\measuring-performance.md,13,0.0,52.0
create-react-app,JavaScript,D:\clones\create-react-app\packages\react-error-overlay\src\__tests__\get-source-map.js,8,8.0,51.0
