project,language,filename,blank,comment,code
flask,Python,D:\clones\flask\tests\test_basic.py,504,49.0,1482.0
flask,reStructuredText,D:\clones\flask\CHANGES.rst,179,2.0,1098.0
flask,Python,D:\clones\flask\src\flask\app.py,365,949.0,781.0
flask,Python,D:\clones\flask\tests\test_blueprints.py,287,16.0,700.0
flask,Python,D:\clones\flask\src\flask\cli.py,202,179.0,608.0
flask,reStructuredText,D:\clones\flask\docs\quickstart.rst,260,144.0,554.0
flask,Python,D:\clones\flask\tests\test_cli.py,160,46.0,458.0
flask,Python,D:\clones\flask\src\flask\blueprints.py,104,179.0,314.0
flask,Python,D:\clones\flask\src\flask\scaffold.py,171,386.0,312.0
flask,Python,D:\clones\flask\tests\test_templating.py,121,12.0,310.0
flask,Python,D:\clones\flask\tests\test_json.py,91,9.0,308.0
flask,Python,D:\clones\flask\tests\test_testing.py,114,9.0,301.0
flask,Python,D:\clones\flask\src\flask\helpers.py,152,338.0,300.0
flask,reStructuredText,D:\clones\flask\docs\cli.rst,231,193.0,296.0
flask,SVG,D:\clones\flask\artwork\logo-full.svg,1,1.0,288.0
flask,reStructuredText,D:\clones\flask\docs\config.rst,264,285.0,265.0
flask,reStructuredText,D:\clones\flask\docs\extensiondev.rst,73,14.0,245.0
flask,Python,D:\clones\flask\tests\test_reqctx.py,84,9.0,232.0
flask,Python,D:\clones\flask\src\flask\ctx.py,104,184.0,225.0
flask,Python,D:\clones\flask\tests\test_helpers.py,73,20.0,220.0
flask,reStructuredText,D:\clones\flask\docs\blueprints.rst,76,10.0,216.0
flask,reStructuredText,D:\clones\flask\docs\errorhandling.rst,143,173.0,208.0
flask,Python,D:\clones\flask\tests\test_user_error_handler.py,76,12.0,201.0
flask,Python,D:\clones\flask\tests\test_config.py,55,5.0,192.0
flask,reStructuredText,D:\clones\flask\docs\api.rst,250,332.0,191.0
flask,Python,D:\clones\flask\src\flask\sessions.py,80,155.0,186.0
flask,reStructuredText,D:\clones\flask\docs\security.rst,76,18.0,180.0
flask,reStructuredText,D:\clones\flask\docs\views.rst,60,1.0,174.0
flask,reStructuredText,D:\clones\flask\docs\deploying\fastcgi.rst,56,12.0,170.0
flask,Python,D:\clones\flask\tests\test_views.py,75,1.0,166.0
flask,reStructuredText,D:\clones\flask\docs\reqcontext.rst,73,27.0,165.0
flask,SVG,D:\clones\flask\artwork\logo-lineart.svg,1,1.0,163.0
flask,reStructuredText,D:\clones\flask\docs\design.rst,45,0.0,163.0
flask,Python,D:\clones\flask\src\flask\testing.py,46,75.0,162.0
flask,reStructuredText,D:\clones\flask\docs\tutorial\tests.rst,153,255.0,153.0
flask,Python,D:\clones\flask\tests\test_signals.py,45,0.0,151.0
flask,reStructuredText,D:\clones\flask\docs\patterns\sqlalchemy.rst,62,3.0,150.0
flask,Python,D:\clones\flask\src\flask\json\tag.py,87,79.0,146.0
flask,Python,D:\clones\flask\tests\test_appctx.py,59,6.0,145.0
flask,reStructuredText,D:\clones\flask\docs\patterns\appdispatch.rst,46,0.0,140.0
flask,reStructuredText,D:\clones\flask\docs\htmlfaq.rst,34,36.0,136.0
flask,reStructuredText,D:\clones\flask\docs\patterns\fabric.rst,47,1.0,136.0
flask,reStructuredText,D:\clones\flask\docs\tutorial\views.rst,78,93.0,134.0
flask,reStructuredText,D:\clones\flask\docs\patterns\viewdecorators.rst,36,6.0,129.0
flask,Python,D:\clones\flask\src\flask\debughelpers.py,31,17.0,126.0
flask,reStructuredText,D:\clones\flask\CONTRIBUTING.rst,80,24.0,125.0
flask,reStructuredText,D:\clones\flask\docs\logging.rst,48,11.0,124.0
flask,Python,D:\clones\flask\src\flask\config.py,70,143.0,124.0
flask,reStructuredText,D:\clones\flask\docs\patterns\distribute.rst,44,3.0,123.0
flask,reStructuredText,D:\clones\flask\docs\signals.rst,50,15.0,123.0
flask,reStructuredText,D:\clones\flask\docs\testing.rst,92,104.0,123.0
flask,reStructuredText,D:\clones\flask\docs\deploying\wsgi-standalone.rst,88,53.0,121.0
flask,Python,D:\clones\flask\tests\conftest.py,50,30.0,117.0
flask,reStructuredText,D:\clones\flask\docs\patterns\fileuploads.rst,43,29.0,110.0
flask,Python,D:\clones\flask\tests\test_async.py,42,0.0,110.0
flask,CSS,D:\clones\flask\examples\tutorial\flaskr\static\style.css,25,0.0,109.0
flask,reStructuredText,D:\clones\flask\docs\patterns\sqlite3.rst,38,5.0,108.0
flask,Python,D:\clones\flask\src\flask\templating.py,32,26.0,108.0
flask,reStructuredText,D:\clones\flask\docs\deploying\mod_wsgi.rst,67,46.0,103.0
flask,reStructuredText,D:\clones\flask\docs\templating.rst,56,46.0,101.0
flask,reStructuredText,D:\clones\flask\docs\appcontext.rst,45,12.0,100.0
flask,reStructuredText,D:\clones\flask\docs\tutorial\blog.rst,73,165.0,98.0
flask,reStructuredText,D:\clones\flask\docs\patterns\urlprocessors.rst,30,1.0,95.0
flask,reStructuredText,D:\clones\flask\docs\patterns\packages.rst,56,37.0,94.0
flask,Python,D:\clones\flask\src\flask\json\__init__.py,69,141.0,89.0
flask,reStructuredText,D:\clones\flask\docs\tutorial\templates.rst,40,59.0,88.0
flask,Python,D:\clones\flask\tests\test_instance_config.py,33,0.0,88.0
flask,reStructuredText,D:\clones\flask\docs\patterns\jquery.rst,31,30.0,87.0
flask,Python,D:\clones\flask\examples\tutorial\flaskr\blog.py,25,16.0,84.0
flask,reStructuredText,D:\clones\flask\docs\tutorial\factory.rst,52,59.0,82.0
flask,reStructuredText,D:\clones\flask\docs\becomingbig.rst,19,0.0,81.0
flask,reStructuredText,D:\clones\flask\docs\patterns\lazyloading.rst,28,0.0,81.0
flask,reStructuredText,D:\clones\flask\docs\tutorial\database.rst,60,73.0,80.0
flask,reStructuredText,D:\clones\flask\docs\patterns\appfactories.rst,58,34.0,77.0
flask,Python,D:\clones\flask\examples\tutorial\flaskr\auth.py,26,13.0,77.0
flask,Python,D:\clones\flask\docs\conf.py,18,5.0,75.0
flask,reStructuredText,D:\clones\flask\docs\patterns\celery.rst,26,0.0,75.0
flask,reStructuredText,D:\clones\flask\docs\async-await.rst,35,24.0,72.0
flask,reStructuredText,D:\clones\flask\docs\shell.rst,28,1.0,71.0
flask,reStructuredText,D:\clones\flask\docs\patterns\mongoengine.rst,32,2.0,69.0
flask,Python,D:\clones\flask\tests\test_logging.py,29,0.0,69.0
flask,reStructuredText,D:\clones\flask\docs\patterns\wtforms.rst,26,33.0,67.0
flask,Python,D:\clones\flask\tests\test_json_tag.py,22,0.0,64.0
flask,reStructuredText,D:\clones\flask\docs\installation.rst,52,30.0,63.0
flask,Python,D:\clones\flask\src\flask\wrappers.py,43,65.0,63.0
flask,reStructuredText,D:\clones\flask\docs\patterns\streaming.rst,17,1.0,62.0
flask,reStructuredText,D:\clones\flask\docs\server.rst,55,52.0,58.0
flask,reStructuredText,D:\clones\flask\docs\tutorial\deploy.rst,53,35.0,58.0
flask,Python,D:\clones\flask\examples\tutorial\tests\test_blog.py,22,3.0,58.0
flask,Markdown,D:\clones\flask\CODE_OF_CONDUCT.md,19,0.0,57.0
flask,reStructuredText,D:\clones\flask\docs\patterns\flashing.rst,30,62.0,56.0
flask,Python,D:\clones\flask\src\flask\views.py,36,70.0,52.0
flask,YAML,D:\clones\flask\.github\workflows\tests.yaml,0,0.0,51.0
flask,reStructuredText,D:\clones\flask\docs\debugging.rst,51,47.0,49.0
flask,reStructuredText,D:\clones\flask\examples\tutorial\README.rst,27,1.0,49.0
flask,Python,D:\clones\flask\examples\tutorial\tests\test_auth.py,16,7.0,46.0
flask,reStructuredText,D:\clones\flask\docs\tutorial\install.rst,31,39.0,44.0
flask,reStructuredText,D:\clones\flask\docs\foreword.rst,10,0.0,43.0
flask,reStructuredText,D:\clones\flask\docs\patterns\requestchecksum.rst,12,0.0,43.0
flask,Python,D:\clones\flask\src\flask\__init__.py,2,0.0,43.0
flask,reStructuredText,D:\clones\flask\docs\deploying\uwsgi.rst,17,12.0,42.0
flask,YAML,D:\clones\flask\.pre-commit-config.yaml,0,0.0,38.0
flask,reStructuredText,D:\clones\flask\docs\advanced_foreword.rst,8,0.0,38.0
flask,Python,D:\clones\flask\src\flask\typing.py,7,10.0,38.0
flask,reStructuredText,D:\clones\flask\docs\patterns\favicon.rst,14,2.0,37.0
flask,reStructuredText,D:\clones\flask\README.rst,28,18.0,36.0
flask,Python,D:\clones\flask\examples\tutorial\tests\conftest.py,18,8.0,36.0
flask,Python,D:\clones\flask\src\flask\signals.py,12,9.0,35.0
flask,reStructuredText,D:\clones\flask\docs\patterns\deferredcallbacks.rst,10,0.0,34.0
flask,Python,D:\clones\flask\src\flask\globals.py,13,12.0,34.0
flask,reStructuredText,D:\clones\flask\docs\patterns\methodoverrides.rst,9,0.0,33.0
flask,HTML,D:\clones\flask\examples\javascript\js_example\templates\base.html,0,0.0,33.0
flask,reStructuredText,D:\clones\flask\docs\extensions.rst,16,1.0,31.0
flask,reStructuredText,D:\clones\flask\docs\tutorial\layout.rst,27,52.0,31.0
flask,HTML,D:\clones\flask\examples\javascript\js_example\templates\fetch.html,5,0.0,31.0
flask,Python,D:\clones\flask\src\flask\logging.py,22,21.0,31.0
flask,Python,D:\clones\flask\tests\test_converters.py,13,0.0,29.0
flask,reStructuredText,D:\clones\flask\docs\tutorial\next.rst,6,4.0,28.0
flask,Python,D:\clones\flask\examples\tutorial\flaskr\db.py,14,12.0,28.0
flask,INI,D:\clones\flask\tox.ini,5,0.0,28.0
flask,reStructuredText,D:\clones\flask\docs\deploying\cgi.rst,19,16.0,26.0
flask,DOS Batch,D:\clones\flask\docs\make.bat,8,1.0,26.0
flask,Python,D:\clones\flask\examples\tutorial\flaskr\__init__.py,12,12.0,26.0
flask,HTML,D:\clones\flask\examples\tutorial\flaskr\templates\blog\index.html,2,0.0,26.0
flask,reStructuredText,D:\clones\flask\docs\index.rst,21,45.0,25.0
flask,reStructuredText,D:\clones\flask\docs\tutorial\index.rst,12,27.0,25.0
flask,reStructuredText,D:\clones\flask\examples\javascript\README.rst,18,7.0,24.0
flask,HTML,D:\clones\flask\examples\javascript\js_example\templates\plain.html,4,0.0,24.0
flask,HTML,D:\clones\flask\examples\tutorial\flaskr\templates\base.html,0,0.0,24.0
flask,Markdown,D:\clones\flask\.github\pull_request_template.md,7,0.0,23.0
flask,reStructuredText,D:\clones\flask\LICENSE.rst,5,0.0,23.0
flask,reStructuredText,D:\clones\flask\docs\patterns\templateinheritance.rst,13,32.0,23.0
flask,reStructuredText,D:\clones\flask\docs\tutorial\static.rst,14,35.0,23.0
flask,HTML,D:\clones\flask\examples\javascript\js_example\templates\jquery.html,4,0.0,23.0
flask,Python,D:\clones\flask\examples\javascript\tests\test_js_example.py,5,0.0,22.0
flask,Python,D:\clones\flask\tests\test_regression.py,8,1.0,21.0
flask,Markdown,D:\clones\flask\.github\ISSUE_TEMPLATE\bug-report.md,7,0.0,20.0
flask,reStructuredText,D:\clones\flask\docs\deploying\index.rst,8,8.0,19.0
flask,Python,D:\clones\flask\examples\tutorial\tests\test_db.py,10,0.0,19.0
flask,HTML,D:\clones\flask\examples\tutorial\flaskr\templates\blog\update.html,2,0.0,17.0
flask,reStructuredText,D:\clones\flask\docs\patterns\singlepageapplications.rst,8,0.0,16.0
flask,Python,D:\clones\flask\tests\test_session_interface.py,7,4.0,16.0
flask,Markdown,D:\clones\flask\.github\SECURITY.md,4,0.0,15.0
flask,SQL,D:\clones\flask\examples\tutorial\flaskr\schema.sql,3,2.0,15.0
flask,Python,D:\clones\flask\setup.py,1,1.0,15.0
flask,Python,D:\clones\flask\tests\test_apps\blueprintapp\apps\admin\__init__.py,5,0.0,15.0
flask,Python,D:\clones\flask\tests\test_subclassing.py,6,0.0,15.0
flask,reStructuredText,D:\clones\flask\artwork\LICENSE.rst,5,0.0,14.0
flask,Markdown,D:\clones\flask\.github\ISSUE_TEMPLATE\feature-request.md,2,0.0,13.0
flask,YAML,D:\clones\flask\.github\workflows\lock.yaml,2,0.0,13.0
flask,YAML,D:\clones\flask\.readthedocs.yaml,0,0.0,13.0
flask,reStructuredText,D:\clones\flask\docs\patterns\subclassing.rst,4,0.0,13.0
flask,Python,D:\clones\flask\examples\javascript\js_example\views.py,5,0.0,13.0
flask,HTML,D:\clones\flask\examples\tutorial\flaskr\templates\auth\login.html,2,0.0,13.0
flask,HTML,D:\clones\flask\examples\tutorial\flaskr\templates\auth\register.html,2,0.0,13.0
flask,HTML,D:\clones\flask\examples\tutorial\flaskr\templates\blog\create.html,2,0.0,13.0
flask,YAML,D:\clones\flask\.github\ISSUE_TEMPLATE\config.yml,0,0.0,11.0
