project,language,filename,blank,comment,code
lens,Haskell,D:\clones\lens\src\Language\Haskell\TH\Lens.hs,273,158.0,2239.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Wrapped.hs,205,148.0,1005.0
lens,Markdown,D:\clones\lens\CHANGELOG.markdown,148,0.0,982.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Tuple.hs,276,129.0,930.0
lens,Haskell,D:\clones\lens\src\Control\Exception\Lens.hs,200,664.0,609.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Fold.hs,150,2082.0,525.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Traversal.hs,125,887.0,456.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Internal\FieldTH.hs,120,128.0,414.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Lens.hs,125,978.0,379.0
lens,Haskell,D:\clones\lens\src\Control\Lens\At.hs,64,147.0,370.0
lens,Haskell,D:\clones\lens\src\Control\Lens\TH.hs,94,357.0,362.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Reified.hs,97,97.0,342.0
lens,Haskell,D:\clones\lens\tests\templates.hs,121,37.0,314.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Internal\PrismTH.hs,79,174.0,286.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Plated.hs,96,478.0,282.0
lens,YAML,D:\clones\lens\.github\workflows\haskell-ci.yml,1,14.0,262.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Setter.hs,84,1021.0,261.0
lens,Haskell,D:\clones\lens\tests\hunit.hs,49,16.0,256.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Internal\Bazaar.hs,59,92.0,237.0
lens,Haskell,D:\clones\lens\src\Data\Data\Lens.hs,52,157.0,221.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Internal\Indexed.hs,55,109.0,219.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Internal\Context.hs,56,90.0,213.0
lens,Haskell,D:\clones\lens\experimental\Control\Lens\Internal\Jacket.hs,43,60.0,208.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Internal\Zoom.hs,66,62.0,207.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Cons.hs,47,290.0,203.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Iso.hs,55,326.0,192.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Internal\Magma.hs,43,44.0,186.0
lens,Haskell,D:\clones\lens\scripts\DocTypes.hs,18,0.0,168.0
lens,Markdown,D:\clones\lens\README.markdown,75,0.0,166.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Prism.hs,45,243.0,166.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Internal\ByteString.hs,26,31.0,161.0
lens,Haskell,D:\clones\lens\examples\Pong.hs,52,41.0,157.0
lens,Haskell,D:\clones\lens\src\Control\Lens\Indexed.hs,38,102.0,152.0
