project,language,filename,blank,comment,code
phabricator,SVG,D:\clones\phabricator\webroot\rsrc\externals\font\lato\lato-regular.svg,0,0.0,22398.0
phabricator,SVG,D:\clones\phabricator\webroot\rsrc\externals\font\lato\lato-bold.svg,0,0.0,22334.0
phabricator,SVG,D:\clones\phabricator\webroot\rsrc\externals\font\lato\lato-italic.svg,0,0.0,21472.0
phabricator,SVG,D:\clones\phabricator\webroot\rsrc\externals\font\lato\lato-bolditalic.svg,0,0.0,21458.0
phabricator,PHP,D:\clones\phabricator\src\__phutil_library_map__.php,1,6.0,13038.0
phabricator,SQL,D:\clones\phabricator\resources\sql\quickstart.sql,2191,0.0,8751.0
phabricator,PHP,D:\clones\phabricator\src\applications\transactions\editor\PhabricatorApplicationTransactionEditor.php,974,752.0,3692.0
phabricator,PHP,D:\clones\phabricator\resources\celerity\map.php,1,5.0,2471.0
phabricator,PHP,D:\clones\phabricator\src\infrastructure\query\policy\PhabricatorCursorPagedPolicyAwareQuery.php,525,506.0,2231.0
phabricator,CSS,D:\clones\phabricator\webroot\rsrc\css\font\font-awesome.css,2,12.0,2186.0
phabricator,PHP,D:\clones\phabricator\externals\phpqrcode\phpqrcode.php,657,495.0,2160.0
phabricator,JavaScript,D:\clones\phabricator\webroot\rsrc\js\application\diff\DiffChangesetList.js,573,200.0,2082.0
phabricator,PHP,D:\clones\phabricator\src\applications\repository\storage\PhabricatorRepository.php,510,300.0,2070.0
phabricator,PHP,D:\clones\phabricator\src\applications\transactions\editengine\PhabricatorEditEngine.php,564,266.0,1916.0
phabricator,JSON,D:\clones\phabricator\resources\emoji\manifest.json,1,0.0,1629.0
phabricator,PHP,D:\clones\phabricator\src\applications\calendar\parser\data\__tests__\PhutilCalendarRecurrenceRuleTestCase.php,196,8.0,1546.0
phabricator,PHP,D:\clones\phabricator\src\infrastructure\internationalization\translation\PhabricatorUSEnglishTranslation.php,300,0.0,1495.0
phabricator,C,D:\clones\phabricator\externals\figlet\figlet.c,344,302.0,1485.0
phabricator,PHP,D:\clones\phabricator\src\applications\transactions\storage\PhabricatorApplicationTransaction.php,256,99.0,1446.0
phabricator,PHP,D:\clones\phabricator\externals\diff_match_patch\diff_match_patch.php,111,563.0,1443.0
phabricator,PHP,D:\clones\phabricator\src\applications\calendar\parser\data\PhutilCalendarRecurrenceRule.php,300,78.0,1442.0
phabricator,PHP,D:\clones\phabricator\src\applications\differential\parser\DifferentialChangesetParser.php,331,213.0,1431.0
phabricator,PHP,D:\clones\phabricator\externals\phpmailer\class.phpmailer.php,209,755.0,1356.0
phabricator,PHP,D:\clones\phabricator\externals\phpmailer\class.phpmailer-lite.php,201,676.0,1305.0
phabricator,PHP,D:\clones\phabricator\src\applications\files\storage\PhabricatorFile.php,344,168.0,1255.0
phabricator,PHP,D:\clones\phabricator\src\applications\differential\editor\DifferentialTransactionEditor.php,307,143.0,1240.0
phabricator,PHP,D:\clones\phabricator\src\applications\project\__tests__\PhabricatorProjectCoreTestCase.php,385,83.0,1226.0
phabricator,PHP,D:\clones\phabricator\src\applications\differential\controller\DifferentialRevisionViewController.php,258,48.0,1144.0
phabricator,PHP,D:\clones\phabricator\src\applications\repository\worker\__tests__\PhabricatorChangeParserTestCase.php,82,32.0,1131.0
