project,language,filename,blank,comment,code
rethinkdb,C++,D:\clones\rethinkdb\src\gen\web_assets.cc,3,26497.0,103187.0
rethinkdb,JSON,D:\clones\rethinkdb\admin\npm-shrinkwrap.json,0,0.0,5513.0
rethinkdb,C++,D:\clones\rethinkdb\external\gtest_1.7.0\test\gtest_unittest.cc,1226,1091.0,5098.0
rethinkdb,JavaScript,D:\clones\rethinkdb\admin\static\js\codemirror\codemirror.js,543,407.0,4630.0
rethinkdb,C/C++ Header,D:\clones\rethinkdb\external\gtest_1.7.0\include\gtest\internal\gtest-param-util-generated.h,349,235.0,4559.0
rethinkdb,JavaScript,D:\clones\rethinkdb\external\rethinkdb_js_2.4.2\ast.js,1367,1.0,3882.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\changefeed.cc,271,321.0,3465.0
rethinkdb,CoffeeScript,D:\clones\rethinkdb\admin\static\coffee\dataexplorer.coffee,458,318.0,3266.0
rethinkdb,diff,D:\clones\rethinkdb\mk\support\pkg\patch\protobuf_0-visual-studio-config.patch,0,40.0,3202.0
rethinkdb,JSON,D:\clones\rethinkdb\demos\election\county_stats.json,0,0.0,3196.0
rethinkdb,LESS,D:\clones\rethinkdb\admin\static\less\styles.less,220,210.0,3180.0
rethinkdb,C/C++ Header,D:\clones\rethinkdb\external\gtest_1.7.0\include\gtest\internal\gtest-type-util.h,138,111.0,3082.0
rethinkdb,C/C++ Header,D:\clones\rethinkdb\src\rpc\serialize_macros.hpp,212,28.0,3063.0
rethinkdb,Markdown,D:\clones\rethinkdb\NOTES.md,772,0.0,2933.0
rethinkdb,C++,D:\clones\rethinkdb\external\gtest_1.7.0\src\gtest.cc,691,1481.0,2843.0
rethinkdb,Python,D:\clones\rethinkdb\scripts\cpplint,883,2583.0,2755.0
rethinkdb,JavaScript,D:\clones\rethinkdb\admin\static\js\reql_docs.js,0,2.0,2497.0
rethinkdb,C++,D:\clones\rethinkdb\src\clustering\administration\main\command_line.cc,376,194.0,2321.0
rethinkdb,SVG,D:\clones\rethinkdb\admin\static\fonts\ionicons.svg,0,3.0,2229.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\datum_stream.cc,241,139.0,2218.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\datum.cc,236,149.0,1894.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\btree.cc,199,244.0,1844.0
rethinkdb,C++,D:\clones\rethinkdb\external\gtest_1.7.0\test\gtest_pred_impl_unittest.cc,246,438.0,1743.0
rethinkdb,C++,D:\clones\rethinkdb\src\http\http_parser.cc,374,206.0,1684.0
rethinkdb,Python,D:\clones\rethinkdb\test\rql_test\test-runner,512,191.0,1634.0
rethinkdb,LESS,D:\clones\rethinkdb\admin\static\less\_ionicons-icons.less,1,2.0,1470.0
rethinkdb,C++,D:\clones\rethinkdb\src\buffer_cache\page_cache.cc,305,273.0,1463.0
rethinkdb,Python,D:\clones\rethinkdb\test\common\http_support\werkzeug\datastructures.py,497,727.0,1397.0
rethinkdb,C++,D:\clones\rethinkdb\src\arch\io\network.cc,254,182.0,1388.0
rethinkdb,C++,D:\clones\rethinkdb\src\clustering\generic\raft_core.tcc,233,543.0,1287.0
rethinkdb,C++,D:\clones\rethinkdb\src\clustering\administration\real_reql_cluster_interface.cc,166,51.0,1275.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\geo\karney\geodesic.cc,135,364.0,1271.0
rethinkdb,YAML,D:\clones\rethinkdb\test\rql_test\src\sindex\api.yaml,94,9.0,1245.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\protocol.cc,188,163.0,1241.0
rethinkdb,LESS,D:\clones\rethinkdb\admin\static\less\lesshat.less,506,450.0,1216.0
rethinkdb,C++,D:\clones\rethinkdb\src\btree\leaf_node.cc,335,319.0,1168.0
rethinkdb,C++,D:\clones\rethinkdb\src\rpc\connectivity\cluster.cc,193,255.0,1168.0
rethinkdb,Python,D:\clones\rethinkdb\test\common\http_support\jinja2\compiler.py,225,248.0,1167.0
rethinkdb,Bourne Again Shell,D:\clones\rethinkdb\configure,116,114.0,1108.0
rethinkdb,C++,D:\clones\rethinkdb\src\serializer\log\data_block_manager.cc,275,247.0,1081.0
rethinkdb,C++,D:\clones\rethinkdb\external\gtest_1.7.0\test\gtest-printers_test.cc,256,245.0,1065.0
rethinkdb,C/C++ Header,D:\clones\rethinkdb\src\rapidjson\reader.h,194,231.0,1052.0
rethinkdb,Python,D:\clones\rethinkdb\test\common\http_support\flask\testsuite\basic.py,170,39.0,1045.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\shards.cc,76,44.0,1028.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\btree_store.cc,160,106.0,1027.0
rethinkdb,C/C++ Header,D:\clones\rethinkdb\external\gtest_1.7.0\include\gtest\gtest-param-test.h,97,320.0,1004.0
rethinkdb,C++,D:\clones\rethinkdb\src\pprint\js_pprint.cc,92,38.0,962.0
rethinkdb,JavaScript,D:\clones\rethinkdb\admin\static\js\backbone.js,231,421.0,956.0
rethinkdb,C++,D:\clones\rethinkdb\src\unittest\page_test.cc,211,26.0,943.0
rethinkdb,JavaScript,D:\clones\rethinkdb\admin\static\js\rdb_cubism.v1.js,196,84.0,935.0
rethinkdb,C/C++ Header,D:\clones\rethinkdb\src\rapidjson\document.h,276,726.0,930.0
rethinkdb,C++,D:\clones\rethinkdb\external\gtest_1.7.0\test\gtest-port_test.cc,221,110.0,922.0
rethinkdb,Python,D:\clones\rethinkdb\packaging\osx\ds_store\store.py,185,113.0,922.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\store.cc,109,76.0,917.0
rethinkdb,JavaScript,D:\clones\rethinkdb\external\rethinkdb_js_2.4.2\net.js,72,1.0,915.0
rethinkdb,C++,D:\clones\rethinkdb\external\gtest_1.7.0\test\gtest-death-test_test.cc,223,235.0,909.0
rethinkdb,C/C++ Header,D:\clones\rethinkdb\external\gtest_1.7.0\include\gtest\internal\gtest-port.h,259,782.0,906.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\terms\db_table.cc,98,36.0,902.0
rethinkdb,C/C++ Header,D:\clones\rethinkdb\external\gtest_1.7.0\include\gtest\gtest.h,330,1075.0,886.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\geo\s2\s2polygon.cc,151,175.0,885.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\terms\seq.cc,96,17.0,850.0
rethinkdb,C/C++ Header,D:\clones\rethinkdb\src\rpc\semilattice\joins\macros.hpp,26,22.0,847.0
rethinkdb,C++,D:\clones\rethinkdb\external\gtest_1.7.0\src\gtest-death-test.cc,166,343.0,835.0
rethinkdb,C++,D:\clones\rethinkdb\src\unittest\rdb_protocol.cc,120,60.0,834.0
rethinkdb,Python,D:\clones\rethinkdb\test\common\test_framework.py,125,29.0,834.0
rethinkdb,C++,D:\clones\rethinkdb\src\clustering\administration\tables\table_config.cc,71,31.0,818.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\serialize_datum.cc,102,96.0,811.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\val.cc,72,18.0,803.0
rethinkdb,C++,D:\clones\rethinkdb\src\clustering\administration\artificial_reql_cluster_interface.cc,53,6.0,796.0
rethinkdb,C++,D:\clones\rethinkdb\src\serializer\log\log_serializer.cc,188,92.0,792.0
rethinkdb,JavaScript,D:\clones\rethinkdb\test\rql_test\drivers\driver.js,126,63.0,761.0
rethinkdb,JavaScript,D:\clones\rethinkdb\admin\static\js\cubism.v1.js,160,58.0,757.0
rethinkdb,CoffeeScript,D:\clones\rethinkdb\admin\static\coffee\tables\table.coffee,128,94.0,753.0
rethinkdb,C/C++ Header,D:\clones\rethinkdb\external\gtest_1.7.0\include\gtest\internal\gtest-tuple.h,196,68.0,748.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\term_walker.cc,30,14.0,748.0
rethinkdb,Python,D:\clones\rethinkdb\test\rql_test\connections\tornado_connection.py.test,179,50.0,745.0
rethinkdb,LESS,D:\clones\rethinkdb\admin\static\less\_ionicons-variables.less,2,8.0,737.0
rethinkdb,Python,D:\clones\rethinkdb\packaging\osx\mac_alias\osx.py,74,15.0,734.0
rethinkdb,C++,D:\clones\rethinkdb\src\extproc\http_job.cc,133,87.0,732.0
rethinkdb,C++,D:\clones\rethinkdb\src\cjson\cJSON.cc,125,76.0,723.0
rethinkdb,Python,D:\clones\rethinkdb\test\common\http_support\jinja2\parser.py,90,83.0,722.0
rethinkdb,Python,D:\clones\rethinkdb\test\rql_test\connections\twisted_connection.+py2_7_py3_3+.test,180,46.0,702.0
rethinkdb,C++,D:\clones\rethinkdb\src\clustering\table_manager\table_meta_client.cc,62,71.0,719.0
rethinkdb,Python,D:\clones\rethinkdb\test\common\http_support\werkzeug\wrappers.py,286,810.0,712.0
rethinkdb,Python,D:\clones\rethinkdb\test\common\driver.py,187,121.0,710.0
rethinkdb,JavaScript,D:\clones\rethinkdb\test\performance\comparisons\jquery.tablesorter.js,138,186.0,707.0
rethinkdb,Python,D:\clones\rethinkdb\test\common\http_support\werkzeug\routing.py,284,654.0,693.0
rethinkdb,Python,D:\clones\rethinkdb\test\common\http_support\werkzeug\testsuite\wrappers.py,119,47.0,674.0
rethinkdb,Python,D:\clones\rethinkdb\test\common\utils.py,223,80.0,674.0
rethinkdb,Python,D:\clones\rethinkdb\packaging\osx\biplist\__init__.py,87,115.0,668.0
rethinkdb,C++,D:\clones\rethinkdb\src\unittest\rdb_env.cc,81,4.0,665.0
rethinkdb,C++,D:\clones\rethinkdb\src\buffer_cache\alt.cc,116,91.0,658.0
rethinkdb,Python,D:\clones\rethinkdb\test\common\http_support\flask\testsuite\blueprints.py,117,16.0,657.0
rethinkdb,Python,D:\clones\rethinkdb\test\common\http_support\flask\app.py,285,907.0,650.0
rethinkdb,C++,D:\clones\rethinkdb\src\arch\runtime\context_switching.cc,113,167.0,644.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\terms\arr.cc,74,29.0,643.0
rethinkdb,JavaScript,D:\clones\rethinkdb\admin\static\js\jquery.form.js,85,190.0,636.0
rethinkdb,C++,D:\clones\rethinkdb\src\client_protocol\server.cc,83,52.0,636.0
rethinkdb,JavaScript,D:\clones\rethinkdb\external\rethinkdb_js_2.4.2\cursor.js,85,1.0,634.0
rethinkdb,C++,D:\clones\rethinkdb\src\buffer_cache\blob.cc,143,37.0,620.0
rethinkdb,C++,D:\clones\rethinkdb\src\clustering\administration\logs\log_writer.cc,93,33.0,620.0
rethinkdb,C++,D:\clones\rethinkdb\src\rdb_protocol\terms\http.cc,89,82.0,617.0
rethinkdb,C++,D:\clones\rethinkdb\external\gtest_1.7.0\test\gtest_output_test_.cc,194,229.0,611.0
rethinkdb,C++,D:\clones\rethinkdb\src\extproc\js_job.cc,108,46.0,604.0
