project,language,filename,blank,comment,code
spring-framework,AsciiDoc,D:\clones\spring-framework\src\docs\asciidoc\core\core-beans.adoc,2180,255.0,8880.0
spring-framework,AsciiDoc,D:\clones\spring-framework\src\docs\asciidoc\data-access.adoc,1848,173.0,7088.0
spring-framework,AsciiDoc,D:\clones\spring-framework\src\docs\asciidoc\testing.adoc,1552,423.0,6993.0
spring-framework,AsciiDoc,D:\clones\spring-framework\src\docs\asciidoc\integration.adoc,1468,41.0,5143.0
spring-framework,Java,D:\clones\spring-framework\spring-expression\src\test\java\org\springframework\expression\spel\SpelCompilationCoverageTests.java,993,325.0,4942.0
spring-framework,AsciiDoc,D:\clones\spring-framework\src\docs\asciidoc\web\webmvc.adoc,1309,177.0,4647.0
spring-framework,AsciiDoc,D:\clones\spring-framework\src\docs\asciidoc\core\core-aop.adoc,840,80.0,3352.0
spring-framework,AsciiDoc,D:\clones\spring-framework\src\docs\asciidoc\web\webflux.adoc,959,141.0,3345.0
spring-framework,Java,D:\clones\spring-framework\spring-beans\src\test\java\org\springframework\beans\factory\annotation\AutowiredAnnotationBeanPostProcessorTests.java,778,40.0,3179.0
spring-framework,Java,D:\clones\spring-framework\spring-webmvc\src\test\java\org\springframework\web\servlet\mvc\method\annotation\ServletAnnotationControllerHandlerMethodTests.java,723,463.0,2966.0
spring-framework,Java,D:\clones\spring-framework\spring-core\src\test\java\org\springframework\core\annotation\MergedAnnotationsTests.java,625,158.0,2932.0
spring-framework,Java,D:\clones\spring-framework\spring-core\src\main\java\org\springframework\asm\ClassReader.java,169,988.0,2701.0
spring-framework,Java,D:\clones\spring-framework\spring-beans\src\test\java\org\springframework\beans\factory\DefaultListableBeanFactoryTests.java,442,60.0,2663.0
spring-framework,XML,D:\clones\spring-framework\spring-webmvc\src\main\resources\META-INF\spring-form.tld,17,0.0,2446.0
