project,language,filename,blank,comment,code
tinker,Java,D:\clones\tinker\tinker-build\tinker-patch-lib\src\main\java\com\tencent\tinker\build\util\DexClassesComparator.java,197,40.0,1311.0
tinker,Java,D:\clones\tinker\tinker-build\tinker-patch-lib\src\main\java\org\jf\dexlib2\builder\BuilderMutableMethodImplementation.java,117,59.0,953.0
tinker,Java,D:\clones\tinker\tinker-build\tinker-patch-lib\src\main\java\com\tencent\tinker\build\decoder\DexDiffDecoder.java,126,99.0,797.0
tinker,Java,D:\clones\tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\Dex.java,96,186.0,706.0
tinker,Java,D:\clones\tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dx\instruction\InstructionCodec.java,49,33.0,705.0
tinker,Java,D:\clones\tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\io\DexDataBuffer.java,102,116.0,697.0
tinker,Java,D:\clones\tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dx\instruction\InstructionWriter.java,26,24.0,659.0
tinker,Java,D:\clones\tinker\tinker-android\tinker-android-lib\src\main\java\com\tencent\tinker\lib\patch\DexDiffPatchInternal.java,81,82.0,590.0
tinker,Java,D:\clones\tinker\tinker-android\tinker-android-loader\src\main\java\com\tencent\tinker\loader\shareutil\ShareTinkerInternals.java,72,81.0,576.0
tinker,Java,D:\clones\tinker\tinker-android\tinker-android-loader\src\main\java\com\tencent\tinker\loader\hotplug\IncrementComponentManager.java,42,14.0,574.0
tinker,Java,D:\clones\tinker\tinker-build\tinker-patch-lib\src\main\java\com\tencent\tinker\build\dexpatcher\DexPatchGenerator.java,56,47.0,570.0
tinker,Java,D:\clones\tinker\tinker-android\tinker-android-loader\src\main\java\com\tencent\tinker\loader\TinkerDexOptimizer.java,43,46.0,529.0
tinker,Java,D:\clones\tinker\tinker-build\tinker-patch-lib\src\main\java\com\tencent\tinker\build\patch\Configuration.java,83,63.0,525.0
tinker,Java,D:\clones\tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dx\instruction\InstructionReader.java,17,31.0,517.0
tinker,Java,D:\clones\tinker\tinker-android\tinker-android-loader-no-op\src\main\java\com\tencent\tinker\loader\shareutil\ShareTinkerInternals.java,69,81.0,482.0
tinker,Java,D:\clones\tinker\tinker-sample-android\app\src\main\java\tinker\sample\android\reporter\SampleTinkerReport.java,55,29.0,473.0
tinker,Java,D:\clones\tinker\tinker-build\tinker-patch-lib\src\main\java\com\tencent\tinker\build\decoder\ManifestDecoder.java,57,24.0,465.0
tinker,Java,D:\clones\tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dx\instruction\InstructionPromoter.java,25,22.0,457.0
tinker,Gradle,D:\clones\tinker\gradle\WeChatPublish.gradle,99,30.0,454.0
tinker,Java,D:\clones\tinker\tinker-build\tinker-patch-lib\src\main\java\com\tencent\tinker\build\decoder\ResDiffDecoder.java,61,58.0,453.0
tinker,Java,D:\clones\tinker\tinker-android\tinker-android-loader\src\main\java\com\tencent\tinker\loader\shareutil\SharePatchFileUtil.java,67,78.0,416.0
tinker,Java,D:\clones\tinker\tinker-android\tinker-android-loader-no-op\src\main\java\com\tencent\tinker\loader\shareutil\SharePatchFileUtil.java,67,78.0,415.0
tinker,Groovy,D:\clones\tinker\tinker-build\tinker-patch-gradle-plugin\src\main\groovy\com\tencent\tinker\build\gradle\transform\ImmutableDexTransform.groovy,73,40.0,410.0
tinker,Java,D:\clones\tinker\tinker-commons\src\main\java\com\tencent\tinker\commons\dexpatcher\util\AbstractIndexMap.java,54,24.0,408.0
tinker,Java,D:\clones\tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dx\instruction\InstructionComparator.java,33,24.0,405.0
tinker,Java,D:\clones\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSDiff.java,100,212.0,393.0
tinker,Java,D:\clones\tinker\tinker-build\tinker-patch-lib\src\main\java\com\tencent\tinker\build\aapt\AaptUtil.java,52,52.0,393.0
tinker,Java,D:\clones\tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\TableOfContents.java,40,23.0,377.0
tinker,Java,D:\clones\tinker\tinker-build\tinker-patch-lib\src\main\java\com\tencent\tinker\build\util\FileOperation.java,34,34.0,353.0
tinker,Java,D:\clones\tinker\tinker-build\tinker-patch-lib\src\main\java\com\tencent\tinker\build\dexpatcher\algorithms\diff\DexSectionDiffAlgorithm.java,36,79.0,349.0
tinker,Groovy,D:\clones\tinker\tinker-build\tinker-patch-gradle-plugin\src\main\groovy\com\tencent\tinker\build\gradle\task\TinkerResourceIdTask.groovy,48,68.0,343.0
